temperatureMin,temperatureMax,sunriseTime,sunsetTime
45.36,76.72,1546307280,1546345020
47.54,78.3,1546393680,1546431420
48.88,76.95,1546480080,1546517880
47.02,74.96,1546566480,1546604340
50.07,74.01,1546652940,1546690740
49.75,69.6,1546739340,1546777200
47.07,69.55,1546825740,1546863660
45.54,70.63,1546912140,1546950120
46.11,72.21,1546998540,1547036520
43.92,72.93,1547084940,1547122980
47.3,73.3,1547171340,1547209440
47.43,72.72,1547257740,1547295900
47.37,73.07,1547344140,1547382300
47.87,72.98,1547430540,1547468760
40.77,73.4,1547516940,1547555220
42.47,74.67,1547603340,1547641680
45.47,76.16,1547689740,1547728140
46.23,75.36,1547776140,1547814540
47.5,79.43,1547862540,1547901000
51.09,82.31,1547948940,1547987460
55.7,76.36,1548035280,1548073920
50.11,72.53,1548121680,1548160380
50.41,72.19,1548208080,1548246780
50.39,67.76,1548294480,1548333240
47.05,65.73,1548380820,1548419700
43.26,66.25,1548467220,1548506160
41.89,67.35,1548553620,1548592620
42.0,67.84,1548639960,1548679020
41.33,70.51,1548726360,1548765480
40.65,70.55,1548812700,1548851940
48.76,73.76,1548899100,1548938400
49.83,71.98,1548985500,1549024800
45.06,71.73,1549071840,1549111260
43.89,71.96,1549158240,1549197720
45.89,76.11,1549244580,1549284180
55.67,78.75,1549330920,1549370640
56.33,79.94,1549417320,1549457040
53.95,72.51,1549503660,1549543500
42.12,67.53,1549590060,1549629960
43.21,72.51,1549676400,1549716420
42.53,70.96,1549762740,1549802820
44.78,73.41,1549849140,1549889280
49.85,78.57,1549935480,1549975740
53.18,81.96,1550021820,1550062140
59.43,79.12,1550108220,1550148600
54.28,77.18,1550194560,1550235060
50.3,75.73,1550280900,1550321520
46.87,78.05,1550367240,1550407920
53.25,82.17,1550453580,1550494380
57.78,83.21,1550539980,1550580840
62.6,82.69,1550626320,1550667240
61.13,85.45,1550712660,1550753700
60.39,81.24,1550799000,1550840100
51.78,79.58,1550885340,1550926560
53.25,81.77,1550971680,1551013020
51.1,80.08,1551058020,1551099420
52.68,70.47,1551144360,1551185880
50.41,71.16,1551230700,1551272340
49.35,75.79,1551317040,1551358740
50.39,77.73,1551403380,1551445200
58.86,73.92,1551489780,1551531600
52.99,78.05,1551576120,1551618060
56.15,80.53,1551662460,1551704460
55.42,80.14,1551748740,1551790920
53.4,82.39,1551835080,1551877380
53.57,83.0,1551921420,1551963780
58.23,85.64,1552007760,1552050240
60.07,83.52,1552094100,1552136640
60.56,83.22,1552180440,1552223100
64.14,85.05,1552266780,1552309500
59.09,84.57,1552353120,1552395960
61.44,80.04,1552439460,1552482360
58.22,80.65,1552525800,1552568820
57.41,83.45,1552612140,1552655220
58.4,83.48,1552698480,1552741680
60.15,86.76,1552784820,1552828080
59.4,88.26,1552871160,1552914540
60.58,92.54,1552957440,1553000940
66.21,91.18,1553043780,1553087400
62.52,92.15,1553130120,1553173800
69.05,91.08,1553216460,1553260260
61.82,93.54,1553302800,1553346660
63.45,93.93,1553389140,1553433120
68.27,89.47,1553475480,1553519520
62.67,93.83,1553561820,1553605980
61.61,95.99,1553648160,1553692380
65.01,102.2,1553734440,1553778840
68.49,104.07,1553820780,1553865240
71.82,102.21,1553907120,1553951700
68.92,100.6,1553993460,1554038100
64.51,101.96,1554079800,1554124560
62.53,102.68,1554166140,1554210960
64.2,104.97,1554252480,1554297420
68.72,105.89,1554338820,1554383820
71.08,106.37,1554425160,1554470280
70.47,102.39,1554511500,1554556680
70.92,103.93,1554597840,1554643140
73.6,102.47,1554684180,1554729540
69.09,104.37,1554770460,1554816000
70.78,103.91,1554856800,1554902400
71.39,104.31,1554943140,1554988860
72.43,103.61,1555029480,1555075260
72.47,105.06,1555115820,1555161720
75.53,105.44,1555202160,1555248120
70.94,103.37,1555288500,1555334580
66.76,90.25,1555374840,1555420980
65.3,79.76,1555461180,1555507440
62.9,86.8,1555547520,1555593840
66.47,91.45,1555633860,1555680300
67.85,97.26,1555720260,1555766700
69.21,100.39,1555806600,1555853160
72.92,105.48,1555892940,1555939560
74.25,106.84,1555979280,1556026020
79.92,107.62,1556065620,1556112420
84.14,107.08,1556151960,1556198880
80.56,104.86,1556238300,1556285280
78.41,106.71,1556324640,1556371740
77.48,107.53,1556410980,1556458200
78.37,108.69,1556497380,1556544600
78.2,107.59,1556583720,1556631060
79.07,107.47,1556670060,1556717460
79.49,105.37,1556756400,1556803920
81.3,102.42,1556842740,1556890320
79.22,101.44,1556929140,1556976780
73.78,105.99,1557015480,1557063180
73.83,106.18,1557101820,1557149640
80.76,106.59,1557188220,1557236100
83.52,107.38,1557274560,1557322500
83.38,104.85,1557360900,1557408960
80.09,103.84,1557447300,1557495360
79.0,102.79,1557533640,1557581820
78.06,100.42,1557619980,1557668220
74.68,103.12,1557706380,1557754680
75.92,102.52,1557792720,1557841140
74.43,104.38,1557879120,1557927540
73.55,99.54,1557965460,1558014000
74.71,95.63,1558051860,1558100400
75.48,96.82,1558138200,1558186860
74.78,102.78,1558224600,1558273260
78.82,102.41,1558310940,1558359720
79.82,102.37,1558397340,1558446180
77.53,102.46,1558483740,1558532580
79.5,103.18,1558570080,1558619040
80.42,101.94,1558656480,1558705440
79.67,104.93,1558742820,1558791900
78.34,107.77,1558829220,1558878300
76.19,109.1,1558915620,1558964760
80.25,109.6,1559002020,1559051160
80.57,111.93,1559088360,1559137620
81.89,110.37,1559174760,1559224020
88.43,109.9,1559261160,1559310480
87.45,112.06,1559347560,1559396880
87.74,116.64,1559433960,1559483340
86.65,115.99,1559520300,1559569740
92.24,112.4,1559606700,1559656200
89.83,112.0,1559693100,1559742600
84.99,114.04,1559779500,1559829060
86.86,112.96,1559865900,1559915460
85.71,111.78,1559952300,1560001920
85.94,113.71,1560038700,1560088320
92.51,114.48,1560125100,1560174720
88.31,111.85,1560211500,1560261180
91.86,106.79,1560297900,1560347580
88.59,100.25,1560384300,1560433980
